label	script	section	kind	value	figures
lab07 d=0 cost	lab07		statistic	-0.0126	-0.0126
lab07 d=0 gross	lab07		statistic	+0.0027	+0.0027
lab07 d=1 cost	lab07		statistic	-0.0149	-0.0149
lab07 d=1 gross	lab07		statistic	+0.0143	+0.0143
lab07 d=2 cost	lab07		statistic	-0.0172	-0.0172
lab07 d=2 gross	lab07		statistic	+0.0353	+0.0353
lab07 d=3 cost	lab07		statistic	-0.0193	-0.0193
lab07 d=3 gross	lab07		statistic	+0.0590	+0.0590
lab07 d=5 cost	lab07		statistic	-0.0234	-0.0234
lab07 d=5 gross	lab07		statistic	+0.1031	+0.1031
lab07 d=8 cost	lab07		statistic	-0.0294	-0.0294
lab07 d=8 gross	lab07		statistic	+0.1530	+0.1530
lab07 d=13 cost	lab07		statistic	-0.0392	-0.0392
lab07 d=13 gross	lab07		statistic	+0.2211	+0.2211
lab07 d=21 cost	lab07		statistic	-0.0514	-0.0514
lab07 d=21 gross	lab07		statistic	+0.3013	+0.3013
lab07 d=0 interval	lab07		interval	[-0.0064, +0.0116]	-0.0064 +0.0116
lab07 d=1 interval	lab07		interval	[+0.0003, +0.0279]	+0.0003 +0.0279
lab07 d=2 interval	lab07		interval	[+0.0165, +0.0534]	+0.0165 +0.0534
lab06 sup-t critical value	lab06		statistic	2.42	2.42
S1 QLIKE p range		S1	p-value	from p = 0.010 at &delta; = 8	0.010 8
lab06 GW 2.95	lab06		statistic	2.95	2.95
lab06 GW 3.88	lab06		statistic	3.88	3.88
lab06 GW 4.28	lab06		statistic	4.28	4.28
lab06 GW 4.26	lab06		statistic	4.26	4.26
lab06 GW 4.07	lab06		statistic	4.07	4.07
lab06 GW 4.26	lab06		statistic	4.26	4.26
lab06 GW 4.62	lab06		statistic	4.62	4.62
S1 QLIKE range		S1	p-value	the QLIKE row runs from p = 0.010 at &delta; = 8 to p = 0.034 at &delta; = 3	0.010 8 0.034 3
S1 worst two-sided p		S1	p-value	every statistic from &delta; = 3 onward has p &le; 0.034	3 0.034
S1 caption QLIKE verdict		S1	sentence with figures	so it clears 5% throughout and 1% nowhere	5% 1%
S8 delta=0 sq(log)		S8	interval	worse by 0.0099, interval [-0.0191, -0.0011]	0.0099 -0.0191 -0.0011
S8 delta=0 QLIKE		S8	interval	worse by 0.0127, [-0.0263, -0.0010]	0.0127 -0.0263 -0.0010
S8 delta=0 MSE(nat)		S8	interval	worse by 0.0037, [-0.0310, +0.0180]	0.0037 -0.0310 +0.0180
S8 delta=0 normalised		S8	interval	comes out at +0.0070, [-0.0429, +0.0204]	+0.0070 -0.0429 +0.0204
band block length in words			text	in moving blocks of forty days	
inference vocabulary: pointwise			text	Pointwise : an individual interval excludes zero	
inference vocabulary: simultaneous			text	Simultaneous : the effect survives a band covering the whole delay grid at once	
inference vocabulary: equivalence			text	Equivalence : the effect lies inside a margin declared negligible in advance, which this paper tests nowhere and therefore never claims	
non-detection is not zero			text	no incremental contribution was detected; it is not a cell where the contribution is zero	
registry described in the availability statement			text	builds a machine-readable registry of every figure the verifier ties to a lab	
registry gates described			text	no point estimate may be quoted in prose with two different intervals	
registry is derived, not parallel			text	built from the verifier's own checks rather than maintained beside them	
price is defined, not assumed			text	it means that the two things being compared can be put on one ruler	
price in the title is defined			text	in this title means a ratio on one ruler and not an amount	
options scope is two targets			sentence with figures	two targets only, SPX and DAX, each on the 4,525-day window	4 525
Table 5 grade definitions			text	established means the estimate excludes zero and survives the robustness set; supported means it is consistent across the tests run but rests on a sample too small to resolve alternatives	
scope condition count in Section 10			text	the two scope conditions that bound where the result holds	
scope condition count in the availability statement			text	the two scope conditions.	
scope conditions are named			text	the option chain and coupling	
scope condition is identified, not established			text	identified in the examined markets rather than assumed	
coupling is bounded, not the whole story			text	coupling is the part of the story this design can see	
redistribution terms stated per vendor			text	Investing.com's terms forbid distributing data obtained from the site without written permission	
redistribution terms stated per vendor			text	Cboe's permit one downloaded copy for personal non-commercial use	
redistribution terms stated per vendor			text	Yahoo's forbid reproducing or distributing any portion	
redistribution terms stated per vendor			text	Copyrighted: Pre-approval Required	
